"Frequency","Gate Voltage","Gate Current","Source Voltage","Source Current","Drain Voltage","Drain Current","G Gate>Gate","C Gate>Gate","G Source>Gate","C Source>Gate","G Drain>Gate","C Drain>Gate","G Gate>Source","C Gate>Source","G Source>Source","C Source>Source","G Drain>Source","C Drain>Source","G Gate>Drain","C Gate>Drain","G Source>Drain","C Source>Drain","G Drain>Drain","C Drain>Drain"
1.0000000000e+06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.7207084540e-12,1.0000000000e+00,5.7204714590e-12,-2.6412926030e-15,-3.4166762850e-16,1.6884234440e-10,1.8598019590e-16,-1.6883974800e-10,1.5568743250e-16,4.4096121390e-15,1.8598027190e-16,-1.8359568280e-10,-2.2580621340e-16,1.8355798070e-10,3.9825941500e-17,-1.7699432900e-15,1.5568735660e-16,1.4719997570e-11,3.9826017520e-17,-1.4717672190e-11,-1.9551337410e-16
1.0000000000e+06,1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-9.6085952540e-11,1.0000000000e+00,9.6085905740e-11,-2.5318829450e-15,-3.4310010750e-16,2.8785236020e-09,1.8695177650e-16,-2.8785210560e-09,1.5614833100e-16,4.2610827800e-15,1.8695314850e-16,-3.1092318350e-09,-2.2615555240e-16,3.1091989610e-09,3.9202403930e-17,-1.7187001280e-15,1.5614695900e-16,2.3067962880e-10,3.9203774130e-17,-2.3069199860e-10,-1.9535073320e-16
1.0000000000e+06,2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-1.7095649940e-09,1.0000000000e+00,1.7095649330e-09,-2.5075316630e-15,-3.4629739590e-16,5.1637870470e-08,1.8977052010e-16,-5.1637868000e-08,1.5652687580e-16,4.2212700300e-15,1.8979599280e-16,-5.5494377440e-08,-2.2856241670e-16,5.5494357260e-08,3.8766423920e-17,-1.7075549460e-15,1.5650140310e-16,3.8564910040e-09,3.8791879420e-17,-3.8564842970e-09,-1.9529328250e-16
1.0000000000e+06,3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-3.1246448850e-08,1.0000000000e+00,3.1246448780e-08,-2.4717648210e-15,-3.5487320490e-16,9.4427482270e-07,1.9763605510e-16,-9.4427482020e-07,1.5723714970e-16,4.1341298230e-15,1.9811214010e-16,-1.0106035400e-06,-2.3615298230e-16,1.0106034930e-06,3.8040842130e-17,-1.6776100740e-15,1.5676106470e-16,6.6328674700e-08,3.8517675920e-17,-6.6328674900e-08,-1.9527874060e-16
1.0000000000e+06,4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-5.5890750380e-07,1.0000000000e+00,5.5890750380e-07,-2.4613661660e-15,-3.8724733190e-16,1.6313254920e-05,2.2284424500e-16,-1.6313254920e-05,1.6440308700e-16,4.0447926840e-15,2.3100119580e-16,-1.7397690370e-05,-2.6262344030e-16,1.7397690340e-05,3.1622244520e-17,-1.5801723500e-15,1.5624613620e-16,1.0844354230e-06,3.9776405350e-17,-1.0844354340e-06,-1.9602254150e-16
1.0000000000e+06,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-7.3826589600e-06,1.0000000000e+00,7.3826589600e-06,-2.8573874310e-15,-5.1209146940e-16,1.6576443780e-04,2.8321913500e-16,-1.6576443780e-04,2.2887233440e-16,4.1338809400e-15,3.6032191470e-16,-1.7638677100e-04,-3.3513378470e-16,1.7638677100e-04,-2.5188130040e-17,-1.2690358300e-15,1.5176955470e-16,1.0622333180e-05,5.1834837440e-17,-1.0622333210e-05,-2.0360439210e-16
1.0000000000e+06,6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-3.9019468460e-05,1.0000000000e+00,3.9019468460e-05,-3.5442527500e-15,-7.0371683990e-16,4.7258389680e-04,3.5526715710e-16,-4.7258389680e-04,3.4844968280e-16,4.3797471010e-15,5.5905438480e-16,-5.0304237670e-04,-4.2975606320e-16,5.0304237670e-04,-1.2929832160e-16,-8.3776924770e-16,1.4466245510e-16,3.0458479890e-05,7.4601748890e-17,-3.0458479900e-05,-2.1926420400e-16
1.0000000000e+06,7.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-9.6167074000e-05,1.0000000000e+00,9.6167074000e-05,-3.9828721430e-15,-8.1859335970e-16,6.6055417800e-04,4.0041091180e-16,-6.6055417800e-04,4.1818244790e-16,4.5930619690e-15,6.7639369220e-16,-7.0447282440e-04,-4.8837587560e-16,7.0447282440e-04,-1.8801781660e-16,-6.1025654680e-16,1.4219966760e-16,4.3918646440e-05,8.7972173830e-17,-4.3918646450e-05,-2.3017184140e-16
1.0000000000e+06,8.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-1.6746649880e-04,1.0000000000e+00,1.6746649880e-04,-4.2898234530e-15,-8.8748839310e-16,7.6619373410e-04,4.2968325350e-16,-7.6619373410e-04,4.5780513960e-16,4.7904005980e-15,7.4508230730e-16,-8.1827450900e-04,-5.2517128530e-16,8.1827450900e-04,-2.1991102190e-16,-4.9985087300e-16,1.4240608580e-16,5.2080774900e-05,9.5361955040e-17,-5.2080774900e-05,-2.3776804080e-16
1.0000000000e+06,9.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-2.4711054560e-04,1.0000000000e+00,2.4711054560e-04,-4.4966278810e-15,-9.3041188240e-16,8.2825743050e-04,4.4942657740e-16,-8.2825743050e-04,4.8098530500e-16,4.9323917550e-15,7.8655652500e-16,-8.8593400320e-04,-5.4945872210e-16,8.8593400320e-04,-2.3709780290e-16,-4.3760571660e-16,1.4385535740e-16,5.7676572730e-05,1.0047917230e-16,-5.7676572750e-05,-2.4433452970e-16
