"Frequency","Gate Voltage","Gate Current","Source Voltage","Source Current","Drain Voltage","Drain Current","G Gate>Gate","C Gate>Gate","G Source>Gate","C Source>Gate","G Drain>Gate","C Drain>Gate","G Gate>Source","C Gate>Source","G Source>Source","C Source>Source","G Drain>Source","C Drain>Source","G Gate>Drain","C Gate>Drain","G Source>Drain","C Source>Drain","G Drain>Drain","C Drain>Drain"
1.0000000000e+06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.3957013010e-15,1.0000000000e+00,7.4679078280e-15,-2.6141302950e-16,-3.2566171970e-16,2.3532429420e-13,1.6586499480e-16,-2.3508328860e-13,1.5979672500e-16,2.0106024360e-16,1.6586499500e-16,-2.7175772470e-13,-2.7724463930e-16,2.5573367250e-13,1.1137964440e-16,4.0964121590e-17,1.5979672480e-16,2.0623915960e-14,1.1137964450e-16,-4.3163947410e-14,-2.7117636930e-16
1.0000000000e+06,1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-1.2227168290e-13,1.0000000000e+00,1.2230778700e-13,-2.8917002010e-16,-3.2613868530e-16,3.9237099960e-12,1.6614564850e-16,-3.9235168870e-12,1.5999303670e-16,2.0542255680e-16,1.6614565150e-16,-4.2382919070e-12,-2.7732827020e-16,4.2283154580e-12,1.1118261870e-16,3.9405283990e-18,1.5999303370e-16,3.0480667380e-13,1.1118262170e-16,-3.2263725640e-13,-2.7117565540e-16
1.0000000000e+06,2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-2.4866212060e-12,1.0000000000e+00,2.4867298500e-12,-2.9869541490e-16,-3.2766614820e-16,7.9941254100e-11,1.6733904410e-16,-7.9940939100e-11,1.6032710410e-16,2.5863792620e-16,1.6733910640e-16,-8.5950511450e-11,-2.7840788810e-16,8.5935254500e-11,1.1106878170e-16,1.8617438590e-17,1.6032704180e-16,5.9942853120e-12,1.1106884410e-16,-6.0041926490e-12,-2.7139588590e-16
1.0000000000e+06,3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-5.9040256410e-11,1.0000000000e+00,5.9040127850e-11,-2.8935284900e-16,-3.3077698060e-16,1.8961971140e-09,1.7010107920e-16,-1.8961968730e-09,1.6067590140e-16,2.5601020510e-16,1.7010259220e-16,-2.0351682440e-09,-2.8121930780e-16,2.0351624330e-09,1.1111671570e-16,3.1844423180e-17,1.6067438840e-16,1.3896555160e-10,1.1111822870e-16,-1.3898016580e-10,-2.7179261710e-16
1.0000000000e+06,4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-1.4367162630e-09,1.0000000000e+00,1.4367162460e-09,-2.5825553740e-16,-3.3755654970e-16,4.5982206540e-08,1.7656357500e-16,-4.5982206350e-08,1.6099297470e-16,1.9436965470e-16,1.7660116300e-16,-4.9277592940e-08,-2.8784555510e-16,4.9277569510e-08,1.1124439210e-16,2.0612780750e-17,1.6095538670e-16,3.2953631330e-09,1.1128206140e-16,-3.2954035160e-09,-2.7223744800e-16
1.0000000000e+06,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-3.4281843560e-08,1.0000000000e+00,3.4281843450e-08,-3.2630437310e-16,-3.5631247460e-16,1.0824005770e-06,1.9447980460e-16,-1.0824005770e-06,1.6183267000e-16,2.4928963380e-16,1.9538006010e-16,-1.1581741880e-06,-3.0621168070e-16,1.1581741670e-06,1.1083162060e-16,6.1990394730e-18,1.6093241440e-16,7.5773589720e-08,1.1173501990e-16,-7.5773622090e-08,-2.7266743430e-16
1.0000000000e+06,6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-7.2192589830e-07,1.0000000000e+00,7.2192589830e-07,-9.0795708220e-16,-4.1826874660e-16,2.0736217930e-05,2.4182951710e-16,-2.0736217930e-05,1.7643922950e-16,8.6416976850e-16,2.5893433630e-16,-2.2161317850e-05,-3.5480237010e-16,2.2161317820e-05,9.5868033720e-17,-1.9575648550e-17,1.5933441030e-16,1.4250998860e-06,1.1303026070e-16,-1.4250999210e-06,-2.7236467100e-16
1.0000000000e+06,7.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-8.0172983530e-06,1.0000000000e+00,8.0172983530e-06,-2.8465060120e-15,-5.6323452050e-16,1.4978047000e-04,2.9723266290e-16,-1.4978047000e-04,2.6600185770e-16,2.9055153910e-15,4.0903020510e-16,-1.6027898670e-04,-4.1083112540e-16,1.6027898670e-04,1.8009203260e-18,-1.1277830510e-16,1.5420431550e-16,1.0498516710e-05,1.1403949910e-16,-1.0498516730e-05,-2.6824381450e-16
1.0000000000e+06,8.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-3.2503234430e-05,1.0000000000e+00,3.2503234430e-05,-4.3853515630e-15,-6.9889817600e-16,3.3587838490e-04,3.2931249990e-16,-3.3587838490e-04,3.6958567610e-16,4.5310134290e-15,5.4884346470e-16,-3.6100676360e-04,-4.4227420070e-16,3.6100676350e-04,-1.0656926400e-16,-1.7619956210e-16,1.5005471130e-16,2.5128378680e-05,1.1370946150e-16,-2.5128378700e-05,-2.6376417290e-16
1.0000000000e+06,9.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-7.3261199990e-05,1.0000000000e+00,7.3261199990e-05,-5.1278577590e-15,-7.8530838240e-16,4.7126169710e-04,3.5535098800e-16,-4.7126169710e-04,4.2995739430e-16,5.3108473580e-15,6.3639918880e-16,-5.0920835170e-04,-4.6786231540e-16,5.0920835170e-04,-1.6853687340e-16,-2.0108004870e-16,1.4890919360e-16,3.7946654540e-05,1.1329726230e-16,-3.7946654560e-05,-2.6220645600e-16
1.0000000000e+06,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.2515672670e-04,1.0000000000e+00,1.2515672670e-04,-5.5245091950e-15,-8.4163475230e-16,5.6194086720e-04,3.7733181370e-16,-5.6194086720e-04,4.6430293860e-16,5.7232482930e-15,6.9237722180e-16,-6.1036848510e-04,-4.8959002260e-16,6.1036848510e-04,-2.0278719920e-16,-2.0873799220e-16,1.4925753050e-16,4.8427617870e-05,1.1288242230e-16,-4.8427617890e-05,-2.6213995270e-16
